491,1,7,19,40,42,51
490,14,18,21,32,48,54
489,4,13,25,27,29,33
488,5,19,20,29,36,40
487,6,10,28,29,47,53
486,20,23,27,29,40,48
485,14,17,18,43,47,49
484,6,14,24,36,48,53
483,1,7,27,32,50,51
482,8,13,15,21,22,46
481,8,14,19,25,27,31
480,13,16,20,27,32,53
479,19,25,41,48,51,54
478,1,10,13,18,20,50
477,4,6,19,23,38,54
476,10,18,23,34,36,50
475,4,14,21,30,51,52
474,2,5,13,16,28,51
473,6,22,23,29,35,42
472,10,15,23,39,42,48
471,7,10,14,28,42,44
470,5,10,11,25,27,40
469,6,19,36,42,48,53
468,20,21,22,23,34,42
467,37,38,39,42,43,47
466,4,20,33,36,38,40
465,2,16,26,28,40,42
464,3,12,14,17,39,46
463,4,8,16,17,24,51
462,11,17,18,28,29,41
461,3,18,23,39,47,51
460,4,8,11,18,22,41
459,24,25,30,37,52,54
458,9,23,40,48,49,51
457,2,6,13,18,22,49
456,1,12,14,42,44,47
455,4,7,29,31,39,43
454,1,6,8,9,22,35
453,12,19,30,44,47,48
452,10,11,18,51,52,53
451,3,9,21,22,53,54
450,17,28,29,37,39,40
449,5,7,8,29,46,54
448,15,20,21,23,43,44
447,16,23,37,38,47,53
446,2,3,24,37,38,45
445,17,26,33,37,39,47
444,3,6,11,28,30,33
443,4,6,19,31,35,46
442,9,20,23,27,29,37
441,2,6,18,36,46,53
440,17,20,32,34,50,53
439,5,25,30,32,36,40
438,11,30,38,45,47,48
437,1,3,22,37,39,45
436,1,18,33,39,44,53
435,2,3,11,34,40,43
434,18,27,33,38,43,53
433,10,12,15,18,29,47
432,4,9,13,14,29,49
431,8,17,18,49,50,53
430,1,7,10,14,20,27
429,8,9,42,43,45,53
428,3,11,36,40,41,42
427,7,10,24,28,52,54
426,1,2,15,22,37,49
425,11,12,17,37,47,52
424,4,17,21,32,43,46
423,5,9,11,24,31,35
422,1,9,11,21,36,44
421,2,13,19,26,44,54
420,14,16,19,23,35,37
419,12,19,36,39,47,53
418,13,16,25,29,40,51
417,16,18,28,33,38,48
416,8,16,35,39,47,48
415,4,9,16,22,33,43
414,3,18,22,30,33,47
413,22,23,31,33,38,42
412,27,33,45,48,51,52
411,17,19,32,34,45,48
410,3,4,13,41,45,48
409,5,22,35,38,47,53
408,8,13,15,23,40,51
407,5,8,14,40,42,54
406,9,16,24,28,38,49
405,1,13,23,41,46,47
404,1,25,26,43,47,50
403,24,34,35,42,43,49
402,4,6,9,15,35,51
401,15,18,26,34,36,38
400,8,10,14,21,22,48
399,5,21,36,40,44,45
398,10,22,35,38,41,52
397,11,14,19,30,32,45
396,4,23,32,35,36,52
395,3,5,6,7,8,46
394,3,13,27,35,37,47
